ARL,SDRL,MRL,L,Phi,Phi2
238.04,172.38120083118113,209.0,2.6,0.1,0.01
230.32,170.70828216580472,187.0,2.6,0.1,0.02
266.31,185.63128480943075,224.0,2.6,0.1,0.05
237.08,169.1903472423885,202.5,2.6,0.1,0.09
141.58,139.6560904507927,86.5,2.6,0.2,0.01
117.29,98.53895625588896,84.5,2.6,0.2,0.02
154.12,124.21266280053737,124.0,2.6,0.2,0.1
140.22,106.27347552423417,117.0,2.6,0.2,0.15
138.52,133.38594228778382,94.5,2.6,0.5,0.1
112.78,110.77053579359449,74.5,2.6,0.5,0.2
129.65,127.44358555847366,90.0,2.6,0.5,0.3
112.52,100.72660820259958,83.5,2.6,0.5,0.4
102.39,107.61420863436204,68.5,2.6,0.9,0.1
90.6,86.83893136145791,62.5,2.6,0.9,0.3
103.4,94.38421478192208,80.5,2.6,0.9,0.6
99.87,98.84550116216721,61.5,2.6,0.9,0.8
