t,X11,X12,X13,X14,X15,X21,X22,X23,X24,X25,T2,OOC
1,28.1,28.3,28.3,28.2,28.3,46.3,45.8,45.9,45.9,45.8,3.7495685191525965,False
2,28.5,28.4,28.3,28.3,28.2,45.9,45.9,45.8,45.9,45.9,0.8675353814290642,False
3,28.3,28.3,28.3,28.4,28.3,45.8,45.8,45.8,45.5,45.6,0.940495472770162,False
4,28.2,28.3,28.3,28.3,28.3,45.8,46.0,45.8,46.0,45.9,0.39486489855433815,False
5,28.3,28.4,28.3,28.3,28.3,45.8,45.9,46.0,45.8,45.7,0.5177572858625115,False
6,28.3,28.3,28.3,28.3,28.2,45.8,45.9,45.8,45.9,46.0,0.9909924654517936,False
7,28.2,28.3,28.3,28.4,28.4,45.9,45.8,45.7,45.8,45.7,0.5510978986004038,False
8,28.2,28.4,28.3,28.3,28.3,45.8,45.9,45.7,45.8,45.7,1.4371643844587774,False
9,28.3,28.4,28.3,28.4,28.3,45.6,46.1,45.9,45.6,45.9,2.3054980247782773,False
10,28.3,28.3,28.3,28.4,28.3,45.7,45.8,45.8,45.9,45.9,5.06296011548444,False
11,28.4,28.4,28.4,28.5,28.4,45.8,45.4,45.8,45.8,45.9,13.26943501307275,True
12,28.2,28.2,28.3,28.1,28.4,45.3,45.3,45.7,45.8,45.9,13.249775013563717,True
