ARL,SDRL,MRL,L,Phi,Delta
3.8,4.413615298142782,1.0,2.514,0.1,0.0
2.8,2.925747767665559,1.0,2.767,0.25,0.0
1.7,1.3152946437965904,1.0,2.807,0.5,0.0
2.8,3.2062439083762793,1.0,2.514,0.1,0.25
3.38,3.7623928556172865,1.0,2.767,0.25,0.25
2.0,1.8110770276274832,1.0,2.807,0.5,0.25
2.22,2.4681166909204273,1.0,2.514,0.1,0.5
2.38,2.3055585006674635,1.0,2.767,0.25,0.5
1.56,1.0031948963187562,1.0,2.807,0.5,0.5
2.44,2.299217258111986,1.0,2.514,0.1,0.75
2.08,1.6951696080333671,1.0,2.767,0.25,0.75
1.76,1.2737346662472526,1.0,2.807,0.5,0.75
2.06,1.7482562741200158,1.0,2.514,0.1,1.0
1.88,1.3212115651930996,1.0,2.767,0.25,1.0
1.44,0.8284926070883191,1.0,2.807,0.5,1.0
1.36,0.9329523031752481,1.0,2.514,0.1,1.25
1.48,0.9846826900072937,1.0,2.767,0.25,1.25
1.32,0.6462197768561405,1.0,2.807,0.5,1.25
1.6,1.1135528725660044,1.0,2.514,0.1,1.5
1.36,1.0150862032359615,1.0,2.767,0.25,1.5
1.32,0.6764613810115105,1.0,2.807,0.5,1.5
1.46,1.1867602959317438,1.0,2.514,0.1,1.75
1.28,0.6645299090334459,1.0,2.767,0.25,1.75
1.16,0.5043808085167397,1.0,2.807,0.5,1.75
1.1,0.5,1.0,2.514,0.1,2.0
1.18,0.6225752966509351,1.0,2.767,0.25,2.0
1.2,0.5291502622129182,1.0,2.807,0.5,2.0
1.12,0.4749736834815167,1.0,2.514,0.1,2.25
1.08,0.39191835884530857,1.0,2.767,0.25,2.25
1.22,0.5015974481593781,1.0,2.807,0.5,2.25
1.12,0.47497368348151675,1.0,2.514,0.1,2.5
1.08,0.39191835884530857,1.0,2.767,0.25,2.5
1.04,0.19595917942265428,1.0,2.807,0.5,2.5
1.04,0.27999999999999997,1.0,2.514,0.1,2.75
1.08,0.39191835884530857,1.0,2.767,0.25,2.75
1.0,0.0,1.0,2.807,0.5,2.75
1.0,0.0,1.0,2.514,0.1,3.0
1.02,0.13999999999999999,1.0,2.767,0.25,3.0
1.06,0.23748684174075835,1.0,2.807,0.5,3.0
