ARL,SDRL,MRL,L,Phi,Delta,Parameter_string
200.60965,198.0357896363117,139.0,11.0,0.1,0.0,phi=0.1
201.03165,193.915492027526,141.0,12.21656,0.25,0.0,phi=0.25
14.1265,10.117568766754195,12.0,11.0,0.1,0.25,phi=0.1
20.60005,17.463736427165294,16.0,12.21656,0.25,0.25,phi=0.25
4.5023,2.603554245641907,4.0,11.0,0.1,0.5,phi=0.1
5.24905,3.15097192902444,5.0,12.21656,0.25,0.5,phi=0.25
2.40385,1.2104359452279994,2.0,11.0,0.1,0.75,phi=0.1
2.6583,1.324741903164537,2.0,12.21656,0.25,0.75,phi=0.25
1.6207,0.713534519136951,1.0,11.0,0.1,1.0,phi=0.1
1.75645,0.7781602646627492,2.0,12.21656,0.25,1.0,phi=0.25
1.24475,0.45513452681597344,1.0,11.0,0.1,1.25,phi=0.1
1.3187,0.5093430180143829,1.0,12.21656,0.25,1.25,phi=0.25
1.0745,0.2639123907663299,1.0,11.0,0.1,1.5,phi=0.1
1.10715,0.3131595080785509,1.0,12.21656,0.25,1.5,phi=0.25
1.01425,0.11851977683070451,1.0,11.0,0.1,1.75,phi=0.1
1.0237,0.15244116898003635,1.0,12.21656,0.25,1.75,phi=0.25
1.00195,0.04411572848769472,1.0,11.0,0.1,2.0,phi=0.1
1.00305,0.05514251989164078,1.0,12.21656,0.25,2.0,phi=0.25
1.00005,0.007070891032960413,1.0,11.0,0.1,2.25,phi=0.1
1.0003,0.017317909804592472,1.0,12.21656,0.25,2.25,phi=0.25
1.0,0.0,1.0,11.0,0.1,2.5,phi=0.1
1.00005,0.007070891032960414,1.0,12.21656,0.25,2.5,phi=0.25
1.0,0.0,1.0,11.0,0.1,2.75,phi=0.1
1.0,0.0,1.0,12.21656,0.25,2.75,phi=0.25
1.0,0.0,1.0,11.0,0.1,3.0,phi=0.1
1.0,0.0,1.0,12.21656,0.25,3.0,phi=0.25
