t,X11,X12,X13,X14,X15,X21,X22,X23,X24,X25
1,28.1,28.3,28.3,28.2,28.3,46.3,45.8,45.9,45.9,45.8
2,28.5,28.4,28.3,28.3,28.2,45.9,45.9,45.8,45.9,45.9
3,28.3,28.3,28.3,28.4,28.3,45.8,45.8,45.8,45.5,45.6
4,28.2,28.3,28.3,28.3,28.3,45.8,46,45.8,46,45.9
5,28.3,28.4,28.3,28.3,28.3,45.8,45.9,46,45.8,45.7
6,28.3,28.3,28.3,28.3,28.2,45.8,45.9,45.8,45.9,46
7,28.2,28.3,28.3,28.4,28.4,45.9,45.8,45.7,45.8,45.7
8,28.2,28.4,28.3,28.3,28.3,45.8,45.9,45.7,45.8,45.7
9,28.3,28.4,28.3,28.4,28.3,45.6,46.1,45.9,45.6,45.9
10,28.3,28.3,28.3,28.4,28.3,45.7,45.8,45.8,45.9,45.9
11,28.4,28.4,28.4,28.5,28.4,45.8,45.4,45.8,45.8,45.9
12,28.2,28.2,28.3,28.1,28.4,45.3,45.3,45.7,45.8,45.9
