Tau,ARL,SDRL,MRL,L,Phi,Delta,Parameter_string
1,56.849,40.812738195323284,47.0,2.4904,0.1,0.25,phi=0.1
1,69.6978,57.851481183803756,53.0,2.758,0.25,0.25,phi=0.25
11,61.5457,43.03460365229358,52.0,2.4904,0.1,0.25,phi=0.1
11,74.6636,61.348516160050686,60.0,2.758,0.25,0.25,phi=0.25
21,63.2341,44.237785853159515,55.0,2.4904,0.1,0.25,phi=0.1
21,77.1798,63.170984414998635,61.0,2.758,0.25,0.25,phi=0.25
31,64.3317,45.817984188634924,55.0,2.4904,0.1,0.25,phi=0.1
31,80.0348,65.30023115548673,64.0,2.758,0.25,0.25,phi=0.25
41,65.6223,47.0995460987683,57.0,2.4904,0.1,0.25,phi=0.1
41,82.0605,66.2791750080672,66.0,2.758,0.25,0.25,phi=0.25
51,65.7943,48.05939853462588,57.0,2.4904,0.1,0.25,phi=0.1
51,84.9527,69.17670173338709,68.0,2.758,0.25,0.25,phi=0.25
61,67.0633,49.18070651292029,58.0,2.4904,0.1,0.25,phi=0.1
61,87.1013,70.9346758525758,70.0,2.758,0.25,0.25,phi=0.25
71,67.4054,49.80570500294118,58.0,2.4904,0.1,0.25,phi=0.1
71,89.6121,72.23517587429271,72.0,2.758,0.25,0.25,phi=0.25
81,68.0065,51.12141682064377,58.0,2.4904,0.1,0.25,phi=0.1
81,91.4598,74.57818302935517,74.0,2.758,0.25,0.25,phi=0.25
91,68.0952,51.573085393061376,58.0,2.4904,0.1,0.25,phi=0.1
91,92.4375,75.23243113013164,74.0,2.758,0.25,0.25,phi=0.25
101,68.2137,52.45181629181205,58.0,2.4904,0.1,0.25,phi=0.1
101,93.3258,76.31514302129034,75.0,2.758,0.25,0.25,phi=0.25
1,1.7097,1.1150004080716742,1.0,2.4904,0.1,3.0,phi=0.1
1,1.8438,1.080556134589962,1.0,2.758,0.25,3.0,phi=0.25
11,3.4552,1.2887951582776838,3.0,2.4904,0.1,3.0,phi=0.1
11,2.4639,1.3036474945321683,2.0,2.758,0.25,3.0,phi=0.25
21,3.546,1.6820475617532342,3.0,2.4904,0.1,3.0,phi=0.1
21,2.2349,1.3808410444363246,2.0,2.758,0.25,3.0,phi=0.25
31,3.4958,1.9100739148001575,3.0,2.4904,0.1,3.0,phi=0.1
31,2.1149,1.3935199998564785,2.0,2.758,0.25,3.0,phi=0.25
41,3.3873,2.06661527866219,3.0,2.4904,0.1,3.0,phi=0.1
41,1.997,1.3408172880747027,2.0,2.758,0.25,3.0,phi=0.25
51,3.263,2.1462131767371107,3.0,2.4904,0.1,3.0,phi=0.1
51,1.9578,1.3164418559131277,1.0,2.758,0.25,3.0,phi=0.25
61,3.1553,2.1904752703465977,3.0,2.4904,0.1,3.0,phi=0.1
61,1.918,1.3051727854962345,1.0,2.758,0.25,3.0,phi=0.25
71,3.0227,2.2123708346477535,2.0,2.4904,0.1,3.0,phi=0.1
71,1.9031,1.2882198531306681,1.0,2.758,0.25,3.0,phi=0.25
81,2.903,2.182885933804146,2.0,2.4904,0.1,3.0,phi=0.1
81,1.8733,1.2733605577368883,1.0,2.758,0.25,3.0,phi=0.25
91,2.8097,2.189037667560794,2.0,2.4904,0.1,3.0,phi=0.1
91,1.8596,1.261145447599126,1.0,2.758,0.25,3.0,phi=0.25
101,2.6874,2.1365114649821098,2.0,2.4904,0.1,3.0,phi=0.1
101,1.8212,1.2142613227802324,1.0,2.758,0.25,3.0,phi=0.25
