Tau,ARL,SDRL,MRL,L,Phi,k,Delta,Parameter_string
1,52.3762,40.18643394928194,42.0,2.31722,0.1,,0.25,"phi=0.1,k=-0.05"
1,62.2735,48.206168669061434,50.0,2.68838,0.25,,0.25,"phi=0.25,k=-0.125"
11,57.7727,42.15810283575389,49.0,2.31722,0.1,,0.25,"phi=0.1,k=-0.05"
11,66.3376,51.1600862610688,54.0,2.68838,0.25,,0.25,"phi=0.25,k=-0.125"
21,60.2716,43.34449484582788,52.0,2.31722,0.1,,0.25,"phi=0.1,k=-0.05"
21,69.0594,53.225624201506555,57.0,2.68838,0.25,,0.25,"phi=0.25,k=-0.125"
31,61.493,44.618219944323194,53.0,2.31722,0.1,,0.25,"phi=0.1,k=-0.05"
31,70.437,55.24110635206358,58.0,2.68838,0.25,,0.25,"phi=0.25,k=-0.125"
41,62.7043,45.909130480874936,54.0,2.31722,0.1,,0.25,"phi=0.1,k=-0.05"
41,72.1674,56.954186652431446,60.0,2.68838,0.25,,0.25,"phi=0.25,k=-0.125"
51,63.5073,46.947184651584806,55.0,2.31722,0.1,,0.25,"phi=0.1,k=-0.05"
51,73.2185,58.13562554707741,59.0,2.68838,0.25,,0.25,"phi=0.25,k=-0.125"
61,63.8994,47.162990571421574,56.0,2.31722,0.1,,0.25,"phi=0.1,k=-0.05"
61,74.7986,59.500985185457225,61.0,2.68838,0.25,,0.25,"phi=0.25,k=-0.125"
71,64.6534,48.42408975334487,56.0,2.31722,0.1,,0.25,"phi=0.1,k=-0.05"
71,75.8308,60.18349417705821,62.0,2.68838,0.25,,0.25,"phi=0.25,k=-0.125"
81,65.0237,49.33984939488567,56.0,2.31722,0.1,,0.25,"phi=0.1,k=-0.05"
81,76.8054,61.40675476557933,62.0,2.68838,0.25,,0.25,"phi=0.25,k=-0.125"
91,64.9665,50.199398181153526,56.0,2.31722,0.1,,0.25,"phi=0.1,k=-0.05"
91,77.5985,62.703609925984324,62.0,2.68838,0.25,,0.25,"phi=0.25,k=-0.125"
101,64.8376,50.621230983056904,55.0,2.31722,0.1,,0.25,"phi=0.1,k=-0.05"
101,78.604,63.68025270050364,64.0,2.68838,0.25,,0.25,"phi=0.25,k=-0.125"
1,1.5839,1.0544006781105557,1.0,2.31722,0.1,,3.0,"phi=0.1,k=-0.05"
1,1.8429,1.134557001653068,1.0,2.68838,0.25,,3.0,"phi=0.25,k=-0.125"
11,3.3213,1.2062612942476436,3.0,2.31722,0.1,,3.0,"phi=0.1,k=-0.05"
11,2.5496,0.9651631157477993,2.0,2.68838,0.25,,3.0,"phi=0.25,k=-0.125"
21,3.3771,1.4910719600341227,3.0,2.31722,0.1,,3.0,"phi=0.1,k=-0.05"
21,2.3279,0.9504638814810378,2.0,2.68838,0.25,,3.0,"phi=0.25,k=-0.125"
31,3.3345,1.655780707098618,3.0,2.31722,0.1,,3.0,"phi=0.1,k=-0.05"
31,2.2058,0.9049012984850889,2.0,2.68838,0.25,,3.0,"phi=0.25,k=-0.125"
41,3.2558,1.7593653287478412,3.0,2.31722,0.1,,3.0,"phi=0.1,k=-0.05"
41,2.1212,0.8608777845896595,2.0,2.68838,0.25,,3.0,"phi=0.25,k=-0.125"
51,3.1479,1.7732528274332457,2.0,2.31722,0.1,,3.0,"phi=0.1,k=-0.05"
51,2.0579,0.8115094515777374,2.0,2.68838,0.25,,3.0,"phi=0.25,k=-0.125"
61,3.01,1.7461099621730587,2.0,2.31722,0.1,,3.0,"phi=0.1,k=-0.05"
61,2.0355,0.7953865412489703,2.0,2.68838,0.25,,3.0,"phi=0.25,k=-0.125"
71,2.925,1.749278422664614,2.0,2.31722,0.1,,3.0,"phi=0.1,k=-0.05"
71,2.0089,0.7861429831779967,2.0,2.68838,0.25,,3.0,"phi=0.25,k=-0.125"
81,2.8326,1.7326214935755588,2.0,2.31722,0.1,,3.0,"phi=0.1,k=-0.05"
81,1.9862,0.7528675580737957,2.0,2.68838,0.25,,3.0,"phi=0.25,k=-0.125"
91,2.7268,1.6720531570497392,2.0,2.31722,0.1,,3.0,"phi=0.1,k=-0.05"
91,1.9517,0.7221960329439646,2.0,2.68838,0.25,,3.0,"phi=0.25,k=-0.125"
101,2.6557,1.6298335835293125,2.0,2.31722,0.1,,3.0,"phi=0.1,k=-0.05"
101,1.9386,0.7198819625466385,2.0,2.68838,0.25,,3.0,"phi=0.25,k=-0.125"
